,Unnamed: 0,airline,flight_code,source_city,time_taken,stop,destinate_city,price,Class,Days_Left,dep_time_category,arr_time_category
Unnamed: 0,1.0,0.1762888740817626,0.20439748830164575,-0.08954307999025421,0.16440503588108066,-0.12249802411629494,0.02069151083457423,0.7616390503833451,-0.8023592671043862,0.014946339615792755,0.07144774927050106,0.016273624628412777
airline,0.1762888740817626,1.0,0.7332303677590665,-0.03637477332578196,0.0012325163513099793,-0.03510647861010839,-0.03676467928959459,0.24270172492777534,-0.17702853235040072,-0.004558999129471063,0.038534483298250155,0.011476416307552448
flight_code,0.20439748830164575,0.7332303677590665,1.0,-0.006445880749974422,0.20757177574891253,-0.11687089184432259,-0.037794731544034676,0.30296723367234646,-0.2562969500496,-0.0010817647316178625,0.07109959481961371,0.048591993293212225
source_city,-0.08954307999025421,-0.03637477332578196,-0.006445880749974422,1.0,0.01604853822388319,0.0023324285241771783,-0.22420600136680643,0.0037703376464883797,0.0011958327829380026,-0.0036056526492333533,-0.013936983366976189,0.038841018108922355
time_taken,0.16440503588108066,0.0012325163513099793,0.20757177574891253,0.01604853822388319,1.0,-0.4931677854011924,0.0020026026075289837,0.21590187865704347,-0.15325673813729843,-0.03399461132256684,0.11102703241291674,-0.012977321192186426
stop,-0.12249802411629494,-0.03510647861010839,-0.11687089184432259,0.0023324285241771783,-0.4931677854011924,1.0,-0.011810169027288759,-0.20364907851775754,0.10012296196383588,-0.00609326430234125,0.0030676244875192746,0.0040296135481849545
destinate_city,0.02069151083457423,-0.03676467928959459,-0.037794731544034676,-0.22420600136680643,0.0020026026075289837,-0.011810169027288759,1.0,0.005638768509979509,0.0009664785033622363,-0.005087451160093559,0.006250668344026746,-0.0489879752946088
price,0.7616390503833451,0.24270172492777534,0.30296723367234646,0.0037703376464883797,0.21590187865704347,-0.20364907851775754,0.005638768509979509,1.0,-0.9388242783922591,-0.09087601964136975,0.06074907485214792,0.022778533452514713
Class,-0.8023592671043862,-0.17702853235040072,-0.2562969500496,0.0011958327829380026,-0.15325673813729843,0.10012296196383588,0.0009664785033622363,-0.9388242783922591,1.0,0.013652101430572978,-0.05756028893742638,-0.006301627072102214
Days_Left,0.014946339615792755,-0.004558999129471063,-0.0010817647316178625,-0.0036056526492333533,-0.03399461132256684,-0.00609326430234125,-0.005087451160093559,-0.09087601964136975,0.013652101430572978,1.0,-0.002473597885836079,0.0013077857053768718
dep_time_category,0.07144774927050106,0.038534483298250155,0.07109959481961371,-0.013936983366976189,0.11102703241291674,0.0030676244875192746,0.006250668344026746,0.06074907485214792,-0.05756028893742638,-0.002473597885836079,1.0,-0.04332249704236749
arr_time_category,0.016273624628412777,0.011476416307552448,0.048591993293212225,0.038841018108922355,-0.012977321192186426,0.0040296135481849545,-0.0489879752946088,0.022778533452514713,-0.006301627072102214,0.0013077857053768718,-0.04332249704236749,1.0
